latitude,longitude,crime_category,year,arrest
41.909289945,-87.647258453,Violent,2024,True
41.89602273,-87.715112293,Quality-of-Life,2020,True
41.871730813,-87.71667188,Quality-of-Life,2021,True
41.732780706,-87.618823072,Violent,2020,False
41.756099096,-87.591971198,Violent,2024,False
41.85775341,-87.668784595,Property,2024,False
41.936089551,-87.639414873,Other,2021,False
41.75357022,-87.650183691,Violent,2022,False
41.802424035,-87.653871799,Property,2023,False
41.924943337,-87.72678318,Violent,2023,False
41.857509786,-87.623926319,Violent,2025,False
41.775125668,-87.667775881,Violent,2025,False
41.859590806,-87.667620245,Violent,2023,False
41.757547678,-87.607813366,Property,2019,False
41.838108109,-87.72438187,Violent,2024,False
41.758420277,-87.554966924,Other,2020,True
41.822907556,-87.619964527,Other,2022,False
41.736430965,-87.545816318,Violent,2024,False
41.864493678,-87.639158,Property,2019,False
41.866200165,-87.723168162,Quality-of-Life,2019,True
41.876105824,-87.731280571,Violent,2020,False
41.761960251,-87.570076644,Violent,2023,False
41.897213232,-87.700412188,Property,2021,False
41.777236649,-87.69250102,Violent,2021,True
41.777683622,-87.662162081,Property,2019,False
41.809294819,-87.687981698,Violent,2021,False
42.00758327,-87.698520889,Property,2025,False
41.881786879,-87.646744867,Property,2024,False
41.861706086,-87.705534825,Quality-of-Life,2023,True
42.005413813,-87.818803909,Property,2021,False
41.882261459,-87.703699512,Violent,2019,False
41.865829935,-87.677409222,Other,2019,False
41.830611847,-87.623247369,Quality-of-Life,2022,False
41.74960262,-87.654927494,Violent,2022,False
41.86610073,-87.659714511,Violent,2023,False
41.70600611,-87.714178443,Property,2025,False
41.816196221,-87.644888985,Property,2024,False
41.688179569,-87.615673967,Violent,2020,True
41.893357215,-87.641361445,Property,2023,False
41.834120345,-87.669348367,Property,2019,False
41.930390938,-87.764370717,Violent,2023,True
41.686261889,-87.642190243,Property,2019,False
41.965156915,-87.74520595,Other,2023,False
41.821765488,-87.700432993,Violent,2019,False
41.749546435,-87.670693364,Violent,2021,False
41.808608378,-87.622819173,Property,2023,False
41.902836546,-87.667479774,Property,2022,False
41.778758247,-87.716291194,Other,2024,False
41.765539305,-87.741926469,Property,2021,False
41.852652887,-87.64611321,Property,2024,False
41.711466146,-87.672095451,Property,2022,False
41.82386008,-87.615162409,Violent,2019,True
41.651431329,-87.527258234,Violent,2020,True
41.908538516,-87.725263281,Property,2024,False
41.760340683,-87.588407406,Property,2020,False
41.681614385,-87.627966598,Property,2020,False
42.002200937,-87.694880571,Other,2021,False
42.018498254,-87.672983233,Violent,2024,False
41.896083132,-87.629765732,Property,2024,False
41.743718558,-87.620435033,Other,2022,False
41.899227252,-87.622954198,Other,2021,False
41.773459705,-87.661615893,Violent,2024,False
41.776180478,-87.61070863,Violent,2019,False
41.912585094,-87.727638664,Other,2022,False
41.898317476,-87.705102899,Violent,2022,False
41.879466833,-87.668467867,Other,2022,False
41.918153258,-87.746152134,Other,2020,False
41.78296528,-87.76192505,Other,2020,False
41.796216157,-87.723245665,Property,2019,False
41.734667407,-87.549981601,Violent,2021,False
41.90413171,-87.749674916,Violent,2024,False
41.728083978,-87.564224326,Violent,2021,True
41.987137386,-87.660176135,Property,2024,False
41.761286569,-87.606693651,Violent,2019,True
41.764929409,-87.576272815,Property,2023,False
41.961078175,-87.717311252,Property,2024,False
41.802539101,-87.676965826,Violent,2024,False
41.872640478,-87.71640612,Property,2022,False
41.815752892,-87.623008004,Property,2020,False
41.753055876,-87.663503503,Property,2023,False
41.865572356,-87.766120589,Violent,2022,True
41.807887928,-87.722790148,Violent,2021,False
41.945863902,-87.767912706,Quality-of-Life,2022,True
41.900563895,-87.630568743,Property,2024,False
41.979882918,-87.839049988,Property,2025,False
41.769257636,-87.61965013,Property,2019,False
41.814319962,-87.703873829,Property,2023,False
41.868541914,-87.639235361,Violent,2023,False
41.879830505,-87.654638736,Property,2024,False
41.967434236,-87.71944893,Violent,2019,False
41.742589792,-87.570309755,Other,2023,False
41.885684848,-87.749662898,Violent,2024,True
41.759815406,-87.606658935,Violent,2023,False
41.877585867,-87.683123746,Other,2019,False
41.753209655,-87.6816539,Property,2021,False
41.777087068,-87.66292354,Property,2020,False
41.816321863,-87.631189677,Violent,2023,False
41.928078713,-87.654950723,Other,2024,False
41.894513704,-87.712625587,Property,2023,False
41.925633261,-87.63746669,Property,2023,False
41.898767916,-87.624116333,Other,2023,False
41.80040818,-87.593217433,Violent,2023,False
41.88876633,-87.712453528,Violent,2020,False
41.838095821,-87.642202965,Property,2023,False
41.884497778,-87.625878988,Property,2023,False
