community_area,area_name,crime_category,crimes,arrests,pct_below_poverty,per_capita_income,hardship_index,arrest_rate
1,Rogers Park,Other,3170,225,23.6,23939,39.0,0.071
1,Rogers Park,Property,12482,1217,23.6,23939,39.0,0.098
1,Rogers Park,Quality-of-Life,836,667,23.6,23939,39.0,0.798
1,Rogers Park,Violent,7822,1295,23.6,23939,39.0,0.166
2,West Ridge,Other,3689,165,17.2,23040,46.0,0.045
2,West Ridge,Property,11001,533,17.2,23040,46.0,0.048
2,West Ridge,Quality-of-Life,562,418,17.2,23040,46.0,0.744
2,West Ridge,Violent,6537,977,17.2,23040,46.0,0.149
3,Uptown,Other,3432,190,24.0,35787,20.0,0.055
3,Uptown,Property,11453,1120,24.0,35787,20.0,0.098
3,Uptown,Quality-of-Life,582,472,24.0,35787,20.0,0.811
3,Uptown,Violent,7518,1263,24.0,35787,20.0,0.168
4,Lincoln Square,Other,1844,74,10.9,37524,17.0,0.04
4,Lincoln Square,Property,6523,373,10.9,37524,17.0,0.057
4,Lincoln Square,Quality-of-Life,235,183,10.9,37524,17.0,0.779
4,Lincoln Square,Violent,3256,589,10.9,37524,17.0,0.181
5,North Center,Other,1459,59,7.5,57123,6.0,0.04
5,North Center,Property,4597,198,7.5,57123,6.0,0.043
5,North Center,Quality-of-Life,151,98,7.5,57123,6.0,0.649
5,North Center,Violent,1576,191,7.5,57123,6.0,0.121
6,Lake View,Other,5340,147,11.4,60058,5.0,0.028
6,Lake View,Property,20801,1365,11.4,60058,5.0,0.066
6,Lake View,Quality-of-Life,598,472,11.4,60058,5.0,0.789
6,Lake View,Violent,8134,1418,11.4,60058,5.0,0.174
7,Lincoln Park,Other,3077,63,12.3,71551,2.0,0.02
7,Lincoln Park,Property,14898,572,12.3,71551,2.0,0.038
7,Lincoln Park,Quality-of-Life,334,259,12.3,71551,2.0,0.775
7,Lincoln Park,Violent,4045,482,12.3,71551,2.0,0.119
8,Near North Side,Other,9478,593,12.9,88669,1.0,0.063
8,Near North Side,Property,34689,3768,12.9,88669,1.0,0.109
8,Near North Side,Quality-of-Life,2811,2497,12.9,88669,1.0,0.888
8,Near North Side,Violent,15795,2699,12.9,88669,1.0,0.171
9,Edison Park,Other,552,26,3.3,40959,8.0,0.047
9,Edison Park,Property,728,27,3.3,40959,8.0,0.037
9,Edison Park,Quality-of-Life,18,14,3.3,40959,8.0,0.778
9,Edison Park,Violent,407,53,3.3,40959,8.0,0.13
10,Norwood Park,Other,1926,40,5.4,32875,21.0,0.021
10,Norwood Park,Property,3435,200,5.4,32875,21.0,0.058
10,Norwood Park,Quality-of-Life,113,88,5.4,32875,21.0,0.779
10,Norwood Park,Violent,1879,280,5.4,32875,21.0,0.149
11,Jefferson Park,Other,1320,79,8.6,27751,25.0,0.06
11,Jefferson Park,Property,3025,196,8.6,27751,25.0,0.065
11,Jefferson Park,Quality-of-Life,141,104,8.6,27751,25.0,0.738
11,Jefferson Park,Violent,1700,308,8.6,27751,25.0,0.181
12,Forest Glen,Other,878,19,7.5,44164,11.0,0.022
12,Forest Glen,Property,1635,46,7.5,44164,11.0,0.028
12,Forest Glen,Quality-of-Life,71,36,7.5,44164,11.0,0.507
12,Forest Glen,Violent,644,83,7.5,44164,11.0,0.129
