dayofweek,hour,crimes
Monday,0,14469
Monday,1,6536
Monday,2,5615
Monday,3,4644
Monday,4,3819
Monday,5,3480
Monday,6,3871
Monday,7,5562
Monday,8,7950
Monday,9,9447
Monday,10,9538
Monday,11,9591
Monday,12,12917
Monday,13,9789
Monday,14,10337
Monday,15,11491
Monday,16,11293
Monday,17,11469
Monday,18,11431
Monday,19,10963
Monday,20,10514
Monday,21,9663
Monday,22,8943
Monday,23,7501
Tuesday,0,13124
Tuesday,1,5400
Tuesday,2,4633
Tuesday,3,3869
Tuesday,4,3492
Tuesday,5,3151
Tuesday,6,3697
Tuesday,7,5386
Tuesday,8,7513
Tuesday,9,9615
Tuesday,10,9654
Tuesday,11,9720
Tuesday,12,12780
Tuesday,13,9896
Tuesday,14,10290
Tuesday,15,11633
Tuesday,16,11300
Tuesday,17,11643
Tuesday,18,11463
Tuesday,19,11183
Tuesday,20,10611
Tuesday,21,9404
Tuesday,22,8749
Tuesday,23,7553
Wednesday,0,13235
Wednesday,1,5597
Wednesday,2,4594
Wednesday,3,3934
Wednesday,4,3294
Wednesday,5,3187
Wednesday,6,3904
Wednesday,7,5469
Wednesday,8,7636
Wednesday,9,9641
Wednesday,10,9571
Wednesday,11,9657
Wednesday,12,12819
Wednesday,13,10345
Wednesday,14,10696
Wednesday,15,11908
Wednesday,16,11657
Wednesday,17,11652
Wednesday,18,11684
Wednesday,19,11166
Wednesday,20,10576
Wednesday,21,9653
Wednesday,22,9042
Wednesday,23,7650
Thursday,0,12727
Thursday,1,5549
Thursday,2,4912
Thursday,3,4124
Thursday,4,3346
Thursday,5,3251
Thursday,6,3817
Thursday,7,5413
Thursday,8,7432
Thursday,9,9397
Thursday,10,9351
Thursday,11,9745
Thursday,12,12687
Thursday,13,9992
Thursday,14,10425
Thursday,15,11783
Thursday,16,11443
Thursday,17,11490
Thursday,18,11259
Thursday,19,10836
Thursday,20,10776
Thursday,21,9584
Thursday,22,9133
Thursday,23,7939
Friday,0,13896
Friday,1,6361
Friday,2,5429
Friday,3,4568
Friday,4,3672
Friday,5,3416
Friday,6,3723
Friday,7,5271
Friday,8,7616
Friday,9,9729
Friday,10,9665
Friday,11,9654
Friday,12,12920
Friday,13,10088
Friday,14,10710
Friday,15,12253
Friday,16,11748
Friday,17,12036
Friday,18,11680
Friday,19,11528
Friday,20,11251
Friday,21,10515
Friday,22,10467
Friday,23,9772
Saturday,0,14745
Saturday,1,8866
Saturday,2,8016
Saturday,3,6624
Saturday,4,5308
Saturday,5,4048
Saturday,6,3919
Saturday,7,4386
Saturday,8,5946
Saturday,9,8113
Saturday,10,8701
Saturday,11,9236
Saturday,12,11626
Saturday,13,9303
Saturday,14,9861
Saturday,15,10647
Saturday,16,10714
Saturday,17,10854
Saturday,18,10868
Saturday,19,10996
Saturday,20,11056
Saturday,21,10477
Saturday,22,10903
Saturday,23,10560
Sunday,0,15939
Sunday,1,9962
Sunday,2,9281
Sunday,3,7893
Sunday,4,6053
Sunday,5,4564
Sunday,6,3832
Sunday,7,4296
Sunday,8,5678
Sunday,9,7482
Sunday,10,8020
Sunday,11,8184
Sunday,12,10639
Sunday,13,8690
Sunday,14,9249
Sunday,15,10022
Sunday,16,10229
Sunday,17,10573
Sunday,18,10583
Sunday,19,10593
Sunday,20,10421
Sunday,21,10104
Sunday,22,9784
Sunday,23,8658
