year,month,crime_category,crimes,year_month
2019,1,Other,2939,2019-01-01
2019,1,Property,8383,2019-01-01
2019,1,Quality-of-Life,2072,2019-01-01
2019,1,Violent,6156,2019-01-01
2019,2,Other,2729,2019-02-01
2019,2,Property,7891,2019-02-01
2019,2,Quality-of-Life,1929,2019-02-01
2019,2,Violent,5736,2019-02-01
2019,3,Other,2959,2019-03-01
2019,3,Property,8387,2019-03-01
2019,3,Quality-of-Life,2233,2019-03-01
2019,3,Violent,6743,2019-03-01
2019,4,Other,2958,2019-04-01
2019,4,Property,8942,2019-04-01
2019,4,Quality-of-Life,2162,2019-04-01
2019,4,Violent,6849,2019-04-01
2019,5,Other,3130,2019-05-01
2019,5,Property,10082,2019-05-01
2019,5,Quality-of-Life,2263,2019-05-01
2019,5,Violent,8063,2019-05-01
2019,6,Other,2968,2019-06-01
2019,6,Property,10272,2019-06-01
2019,6,Quality-of-Life,2200,2019-06-01
2019,6,Violent,8033,2019-06-01
2019,7,Other,3104,2019-07-01
2019,7,Property,10994,2019-07-01
2019,7,Quality-of-Life,2459,2019-07-01
2019,7,Violent,8145,2019-07-01
2019,8,Other,2954,2019-08-01
2019,8,Property,11019,2019-08-01
2019,8,Quality-of-Life,2561,2019-08-01
2019,8,Violent,7708,2019-08-01
2019,9,Other,2840,2019-09-01
2019,9,Property,9931,2019-09-01
2019,9,Quality-of-Life,2159,2019-09-01
2019,9,Violent,7351,2019-09-01
2019,10,Other,2942,2019-10-01
2019,10,Property,9839,2019-10-01
2019,10,Quality-of-Life,1994,2019-10-01
2019,10,Violent,6765,2019-10-01
2019,11,Other,2738,2019-11-01
2019,11,Property,8844,2019-11-01
2019,11,Quality-of-Life,1876,2019-11-01
2019,11,Violent,6286,2019-11-01
2019,12,Other,2692,2019-12-01
2019,12,Property,9477,2019-12-01
2019,12,Quality-of-Life,1833,2019-12-01
2019,12,Violent,6565,2019-12-01
2020,1,Other,2894,2020-01-01
2020,1,Property,8309,2020-01-01
2020,1,Quality-of-Life,2087,2020-01-01
2020,1,Violent,6364,2020-01-01
2020,2,Other,2550,2020-02-01
2020,2,Property,7676,2020-02-01
2020,2,Quality-of-Life,1903,2020-02-01
2020,2,Violent,5887,2020-02-01
2020,3,Other,2232,2020-03-01
2020,3,Property,6951,2020-03-01
2020,3,Quality-of-Life,1415,2020-03-01
2020,3,Violent,5928,2020-03-01
2020,4,Other,1766,2020-04-01
2020,4,Property,5660,2020-04-01
2020,4,Quality-of-Life,719,2020-04-01
2020,4,Violent,4571,2020-04-01
2020,5,Other,1823,2020-05-01
2020,5,Property,7768,2020-05-01
2020,5,Quality-of-Life,1745,2020-05-01
2020,5,Violent,5989,2020-05-01
2020,6,Other,1999,2020-06-01
2020,6,Property,7339,2020-06-01
2020,6,Quality-of-Life,1355,2020-06-01
2020,6,Violent,6690,2020-06-01
2020,7,Other,2372,2020-07-01
2020,7,Property,8116,2020-07-01
2020,7,Quality-of-Life,1525,2020-07-01
2020,7,Violent,7285,2020-07-01
2020,8,Other,2174,2020-08-01
2020,8,Property,8599,2020-08-01
2020,8,Quality-of-Life,1691,2020-08-01
2020,8,Violent,7123,2020-08-01
2020,9,Other,2134,2020-09-01
2020,9,Property,7614,2020-09-01
2020,9,Quality-of-Life,1524,2020-09-01
2020,9,Violent,6312,2020-09-01
2020,10,Other,2953,2020-10-01
2020,10,Property,7427,2020-10-01
2020,10,Quality-of-Life,1558,2020-10-01
2020,10,Violent,6091,2020-10-01
2020,11,Other,2783,2020-11-01
2020,11,Property,6520,2020-11-01
2020,11,Quality-of-Life,1367,2020-11-01
2020,11,Violent,5453,2020-11-01
2020,12,Other,3475,2020-12-01
2020,12,Property,6087,2020-12-01
2020,12,Quality-of-Life,1363,2020-12-01
2020,12,Violent,4784,2020-12-01
2021,1,Other,3504,2021-01-01
2021,1,Property,5870,2021-01-01
2021,1,Quality-of-Life,1301,2021-01-01
2021,1,Violent,5249,2021-01-01
2021,2,Other,2491,2021-02-01
2021,2,Property,4726,2021-02-01
2021,2,Quality-of-Life,1061,2021-02-01
2021,2,Violent,4535,2021-02-01
2021,3,Other,2673,2021-03-01
2021,3,Property,6057,2021-03-01
2021,3,Quality-of-Life,1458,2021-03-01
2021,3,Violent,5457,2021-03-01
2021,4,Other,2270,2021-04-01
2021,4,Property,6084,2021-04-01
2021,4,Quality-of-Life,1254,2021-04-01
2021,4,Violent,5585,2021-04-01
2021,5,Other,2527,2021-05-01
2021,5,Property,6990,2021-05-01
2021,5,Quality-of-Life,1391,2021-05-01
2021,5,Violent,6508,2021-05-01
2021,6,Other,2812,2021-06-01
2021,6,Property,7357,2021-06-01
2021,6,Quality-of-Life,1383,2021-06-01
2021,6,Violent,6865,2021-06-01
2021,7,Other,2439,2021-07-01
2021,7,Property,8046,2021-07-01
2021,7,Quality-of-Life,1194,2021-07-01
2021,7,Violent,7103,2021-07-01
2021,8,Other,2323,2021-08-01
2021,8,Property,7899,2021-08-01
2021,8,Quality-of-Life,1068,2021-08-01
2021,8,Violent,6807,2021-08-01
2021,9,Other,2331,2021-09-01
2021,9,Property,8176,2021-09-01
2021,9,Quality-of-Life,1208,2021-09-01
2021,9,Violent,7118,2021-09-01
2021,10,Other,2213,2021-10-01
2021,10,Property,8574,2021-10-01
